,open,close,high,low,volume,year,month,week,weekday,day,hour,minute,timestamp,y_timestamp,bid,diff_h_v,diff_l_v,y_high_p,y_low_p,y_c_high_p,y_c_low_p,diff_h,diff_l,op,price,take_profit,stop_loss,profit,loss,risk,v1,v2,v3,v4,v5,v6,vf
0,1.05118,1.0516599999999998,1.05173,1.05057,39074.0,2022.0,12.0,49.0,6.0,11.0,19.0,40.0,2022-12-11 19:40:00-05:00,2022-12-11 20:40:00-05:00,1.0516599999999998,5.8705316,3.37329,1.052247053131312,1.0513226710053531,1.052247053131312,1.0513226710053531,5.870531313121319,3.3732899464666843,c,1.0517599999999998,1.052247053131312,1.0513226710053531,4.870531313121429,-4.373289946466574,1.1136996112175466,True,False,True,True,True,True,False
1,1.05138,1.05159,1.05179,1.05057,39252.0,2022.0,12.0,49.0,6.0,11.0,19.0,41.0,2022-12-11 19:41:00-05:00,2022-12-11 20:41:00-05:00,1.05159,5.781146,3.4428508,1.0521681145882793,1.0512457149279397,1.0521681145882793,1.0512457149279397,5.781145882792771,3.442850720603019,c,1.05169,1.0521681145882793,1.0512457149279397,4.781145882792881,-4.442850720602909,1.0761437157051417,True,False,True,True,True,True,False
2,1.05136,1.05151,1.05179,1.05057,39538.0,2022.0,12.0,49.0,6.0,11.0,19.0,42.0,2022-12-11 19:42:00-05:00,2022-12-11 20:42:00-05:00,1.05151,5.8175216,3.4378507,1.0520917521596327,1.051166214931747,1.0520917521596327,1.051166214931747,5.817521596327424,3.437850682530552,c,1.05161,1.0520917521596327,1.051166214931747,4.817521596327534,-4.437850682530442,1.0855528815540512,True,False,True,True,True,True,False
3,1.0512,1.05146,1.05179,1.05057,39689.0,2022.0,12.0,49.0,6.0,11.0,19.0,43.0,2022-12-11 19:43:00-05:00,2022-12-11 20:43:00-05:00,1.05146,5.8062153,3.4529154,1.0520406215340272,1.051114708459275,1.0520406215340272,1.051114708459275,5.806215340271592,3.4529154072515666,c,1.05156,1.0520406215340272,1.051114708459275,4.806215340271702,-4.4529154072514565,1.0793412631295232,True,False,True,True,True,True,False
4,1.05121,1.05125,1.05179,1.05057,39920.0,2022.0,12.0,49.0,6.0,11.0,19.0,44.0,2022-12-11 19:44:00-05:00,2022-12-11 20:44:00-05:00,1.05125,5.760538,3.4995124,1.0518260538042523,1.0509000487613958,1.0518260538042523,1.0509000487613958,5.760538042522967,3.4995123860426247,c,1.05135,1.0518260538042523,1.0509000487613958,4.760538042523077,-4.499512386042515,1.0580119875411975,True,False,True,True,True,True,False
5,1.0512,1.0512599999999999,1.05179,1.05057,40198.0,2022.0,12.0,49.0,6.0,11.0,19.0,45.0,2022-12-11 19:45:00-05:00,2022-12-11 20:45:00-05:00,1.0512599999999999,5.7939467,3.489284,1.0518393946329503,1.050911071615517,1.0518393946329503,1.050911071615517,5.7939463295042515,3.4892838448286057,c,1.0513599999999999,1.0518393946329503,1.050911071615517,4.793946329504362,-4.4892838448284955,1.0678643844333495,True,False,True,True,True,True,False
6,1.05124,1.0511400000000002,1.05179,1.05057,40319.0,2022.0,12.0,49.0,6.0,11.0,19.0,46.0,2022-12-11 19:46:00-05:00,2022-12-11 20:46:00-05:00,1.0511400000000002,5.771655,3.5172694,1.0517171655123683,1.050788273078492,1.0517171655123683,1.050788273078492,5.77165512368083,3.517269215080887,c,1.0512400000000002,1.0517171655123683,1.050788273078492,4.77165512368094,-4.517269215080777,1.0563140907676927,True,False,True,True,True,True,False
7,1.05137,1.05117,1.05179,1.05057,40378.0,2022.0,12.0,49.0,6.0,11.0,19.0,47.0,2022-12-11 19:47:00-05:00,2022-12-11 20:47:00-05:00,1.05117,5.7681994,3.5226328,1.0517468199334852,1.0508177367240004,1.0517468199334852,1.0508177367240004,5.768199334852397,3.5226327599957585,c,1.05127,1.0517468199334852,1.0508177367240004,4.768199334852508,-4.522632759995648,1.054297261769513,True,False,True,True,True,True,False
8,1.05122,1.05118,1.05179,1.05057,40175.0,2022.0,12.0,49.0,6.0,11.0,19.0,48.0,2022-12-11 19:48:00-05:00,2022-12-11 20:48:00-05:00,1.05118,5.7384653,3.5417788,1.0517538465115428,1.0508258221285138,1.0517538465115428,1.0508258221285138,5.738465115427971,3.541778714861721,c,1.05128,1.0517538465115428,1.0508258221285138,4.738465115428081,-4.541778714861611,1.0433060289623695,True,False,True,True,True,True,False
9,1.05119,1.05116,1.05179,1.05057,40199.0,2022.0,12.0,49.0,6.0,11.0,19.0,49.0,2022-12-11 19:49:00-05:00,2022-12-11 20:49:00-05:00,1.05116,5.6536646,3.6114678,1.051725366470255,1.050798853216311,1.051725366470255,1.050798853216311,5.653664702549577,3.6114678368903697,c,1.05126,1.051725366470255,1.050798853216311,4.653664702549687,-4.6114678368902595,1.009150419595658,True,False,True,True,True,True,False
10,1.05102,1.05098,1.05179,1.05057,40375.0,2022.0,12.0,49.0,6.0,11.0,19.0,50.0,2022-12-11 19:50:00-05:00,2022-12-11 20:50:00-05:00,1.05098,5.617763,3.644888,1.0515417762799375,1.0506155112234596,1.0515417762799375,1.0506155112234596,5.617762799374759,3.644887765403837,c,1.05108,1.0515417762799375,1.0506155112234596,4.617762799374869,-4.644887765403727,0.9941602537243438,True,False,True,True,True,True,False
