,open,close,high,low,volume,year,month,week,weekday,day,hour,minute,timestamp,y_timestamp,bid,diff_h_v,diff_l_v,y_high_p,y_low_p,y_c_high_p,y_c_low_p,diff_h,diff_l,op,price,take_profit,stop_loss,profit,loss,risk,v1,v2,v3,v4,v5,v6,vf
0,1.05224,1.05117,1.05237,1.05114,19789.0,2022.0,12.0,49.0,6.0,10.999999999999998,18.0,40.0,2022-12-11 18:40:00-05:00,2022-12-11 19:40:00-05:00,1.05117,3.7484312,2.7332783,1.0515448431045096,1.0508966721911728,1.0515448431045096,1.0508966721911728,3.7484310450963676,2.733278088271618,c,1.05127,1.0515448431045096,1.0508966721911728,2.7484310450964777,-3.7332780882715078,0.7361977811754682,True,False,True,True,True,True,False
1,1.05237,1.05138,1.05237,1.05114,20073.0,2022.0,12.0,49.0,6.0,10.999999999999998,18.0,41.0,2022-12-11 18:41:00-05:00,2022-12-11 19:41:00-05:00,1.05138,3.7536688,2.7348135,1.0517553668570425,1.0511065186684672,1.0517553668570425,1.0511065186684672,3.7536685704253614,2.7348133153282106,c,1.05148,1.0517553668570425,1.0511065186684672,2.7536685704254715,-3.7348133153281005,0.7372975134055834,True,False,True,True,True,True,False
2,1.05224,1.05136,1.0523699999999998,1.05114,20056.999999999996,2022.0,12.0,49.0,6.0,10.999999999999998,18.0,42.0,2022-12-11 18:42:00-05:00,2022-12-11 19:42:00-05:00,1.05136,3.7594366,2.7367244,1.0517359436367546,1.0510863275727165,1.0517359436367546,1.0510863275727165,3.759436367545277,2.7367242728359997,c,1.05146,1.0517359436367546,1.0510863275727165,2.759436367545387,-3.7367242728358896,0.7384640037813613,True,False,True,True,True,True,False
3,1.05219,1.05121,1.0523699999999998,1.05114,20155.0,2022.0,12.0,49.0,6.0,10.999999999999998,18.0,43.0,2022-12-11 18:43:00-05:00,2022-12-11 19:43:00-05:00,1.05121,3.7654414,2.7385397,1.0515865441360883,1.050936146023022,1.0515865441360883,1.050936146023022,3.7654413608834147,2.7385397697798908,c,1.05131,1.0515865441360883,1.050936146023022,2.765441360883525,-3.7385397697797806,0.7397116337340511,True,False,True,True,True,True,False
4,1.05226,1.0512299999999999,1.0523699999999998,1.05114,20411.999999999996,2022.0,12.0,49.0,6.0,10.999999999999998,18.0,44.0,2022-12-11 18:44:00-05:00,2022-12-11 19:44:00-05:00,1.0512299999999999,3.7734327,2.7410033,1.051607343269065,1.050955899688201,1.051607343269065,1.050955899688201,3.7734326906502247,2.7410031179897487,c,1.0513299999999999,1.051607343269065,1.050955899688201,2.773432690650335,-3.7410031179896386,0.7413607001056812,True,False,True,True,True,True,False
5,1.05229,1.05119,1.0523699999999998,1.05114,20557.999999999996,2022.0,12.0,49.0,6.0,10.999999999999998,18.0,45.0,2022-12-11 18:45:00-05:00,2022-12-11 19:45:00-05:00,1.05119,3.7802303,2.7432725,1.0515680230181292,1.050915672765635,1.0515680230181292,1.050915672765635,3.7802301812916994,2.7432723436504602,c,1.05129,1.0515680230181292,1.050915672765635,2.7802301812918095,-3.74327234365035,0.7427271985720909,True,False,True,True,True,True,False
6,1.05225,1.05124,1.0523699999999998,1.05114,20742.0,2022.0,12.0,49.0,6.0,10.999999999999998,18.0,46.0,2022-12-11 18:46:00-05:00,2022-12-11 19:46:00-05:00,1.05124,3.7873397,2.7456248,1.0516187339664995,1.0509654375193733,1.0516187339664995,1.0509654375193733,3.7873396649956703,2.745624806266278,c,1.05134,1.0516187339664995,1.0509654375193733,2.7873396649957805,-3.745624806266168,0.7441588010450904,True,False,True,True,True,True,False
7,1.05235,1.05137,1.0523699999999998,1.05114,21040.999999999996,2022.0,12.0,49.0,6.0,10.999999999999998,18.0,47.0,2022-12-11 18:47:00-05:00,2022-12-11 19:47:00-05:00,1.05137,3.7952106,2.7480385,1.0517495210504904,1.0510951961613073,1.0517495210504904,1.0510951961613073,3.7952105049043894,2.748038386926055,c,1.05147,1.0517495210504904,1.0510951961613073,2.7952105049044995,-3.748038386925945,0.7457795829025826,True,False,True,True,True,True,False
8,1.05231,1.0512299999999999,1.05233,1.05114,21367.000000000004,2022.0,12.0,49.0,6.0,10.999999999999998,18.0,48.0,2022-12-11 18:48:00-05:00,2022-12-11 19:48:00-05:00,1.0512299999999999,3.8034606,2.7515056,1.0516103460567723,1.050954849447375,1.0516103460567723,1.050954849447375,3.8034605677239597,2.7515055262483656,c,1.0513299999999999,1.0516103460567723,1.050954849447375,2.80346056772407,-3.7515055262482555,0.7472894676841138,True,False,True,True,True,True,False
9,1.05221,1.05118,1.0523,1.05114,21795.0,2022.0,12.0,49.0,6.0,10.999999999999998,18.0,49.0,2022-12-11 18:49:00-05:00,2022-12-11 19:49:00-05:00,1.05118,3.8140233,2.7561846,1.0515614023220912,1.050904381545093,1.0515614023220912,1.050904381545093,3.814023220911622,2.7561845490708947,c,1.05128,1.0515614023220912,1.050904381545093,2.814023220911732,-3.7561845490707846,0.7491706502035085,True,False,True,True,True,True,False
